State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
Georgia,Midville,11/1/2007,Hybri Force 600,8/14/2009,226,2.37,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374,1.495398796,4.761785714,-1.599430012,1
Georgia,Midville,11/1/2007,GA-505,8/14/2009,226,2.4,652,267,3400.1,740.67,21.58577114,16.09750772,27.88128089,0.191288374,1.495398796,4.761785714,-1.579368474,1
Georgia,Athens,10/10/2007,BaraWet 501,12/5/2008,340,2.99,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.495398796,4.761785714,-1.18482489,1
Georgia,Tifton,2/21/2008,GA-505,11/11/2008,316,3.05,264,1,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048,1.495398796,4.761785714,-1.144701814,1
Georgia,Athens,10/10/2007,GA-505,12/5/2008,340,3.08,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.495398796,4.761785714,-1.124640276,1
Georgia,Athens,10/10/2007,Bulldog 805,12/5/2008,340,3.1,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.495398796,4.761785714,-1.111265917,1
Georgia,Athens,10/10/2007,Phoenix,12/5/2008,340,3.13,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.495398796,4.761785714,-1.091204379,1
Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,316,3.17,264,1,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048,1.495398796,4.761785714,-1.064455661,1
Georgia,Tifton,2/21/2008,Hybri Force 600,11/11/2008,316,3.33,264,1,3810.06,664.878,23.32767857,18.43894762,29.26207143,0.116674048,1.495398796,4.761785714,-0.957460791,1
Georgia,Athens,10/10/2007,TS 4010,12/5/2008,340,3.35,422,1,3545.32,413.282,18.35404444,12.54377222,24.63693333,0.129465,1.495398796,4.761785714,-0.944086433,2
Georgia,Tifton,2/21/2008,PGI 801,11/17/2010,321,3.92,1000,345,5022.22,670.614,138.9297511,105.9888866,176.8482793,0.672213199,1.495398796,4.761785714,-0.562917208,2
Georgia,Tifton,2/21/2008,Attention II,11/17/2010,321,3.95,1000,345,5022.22,670.614,138.9297511,105.9888866,176.8482793,0.672213199,1.495398796,4.761785714,-0.542855669,2
Georgia,Tifton,2/21/2008,Bulldog 805,11/17/2010,321,4.03,1000,345,5022.22,670.614,138.9297511,105.9888866,176.8482793,0.672213199,1.495398796,4.761785714,-0.489358234,2
Georgia,Midville,11/1/2007,PGI 801,11/20/2008,325,5.2,385,1,4463.92,599.974,21.56055775,15.77040578,28.37342738,0.18926984,1.495398796,4.761785714,0.293041754,2
Georgia,Midville,11/1/2007,Bara 503,11/20/2008,325,5.23,385,1,4463.92,599.974,21.56055775,15.77040578,28.37342738,0.18926984,1.495398796,4.761785714,0.313103292,2
Georgia,Athens,10/10/2007,Phoenix,10/22/2009,296,5.59,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.495398796,4.761785714,0.55384175,2
Georgia,Athens,10/10/2007,Evermore,10/22/2009,296,5.7,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.495398796,4.761785714,0.627400723,2
Georgia,Tifton,2/21/2008,PGI 801,12/7/2009,341,5.89,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826,1.495398796,4.761785714,0.754457131,2
Georgia,Tifton,2/21/2008,BaraWet 501,12/7/2009,341,5.92,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826,1.495398796,4.761785714,0.77451867,2
Georgia,Athens,10/10/2007,CW 500,10/22/2009,296,5.98,743,409,2901.72,837.424,20.94585878,15.85034906,26.75858797,0.133986739,1.495398796,4.761785714,0.814641746,3
Georgia,Tifton,2/21/2008,Attention II,12/7/2009,341,6.03,655,390,5320.75,1323.896,20.58125727,15.692693,26.19026488,0.144573826,1.495398796,4.761785714,0.848077643,3
Georgia,Athens,10/10/2007,GA-505,10/22/2009,296,6.2,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.495398796,4.761785714,0.961759692,3
Georgia,Athens,10/10/2007,BaraWet 501,10/22/2009,296,6.26,743,409,3915.63,925.558,21.37840702,16.30987925,27.22127038,0.133309391,1.495398796,4.761785714,1.001882769,3
Georgia,Athens,10/10/2007,BaraWet 501,11/1/2010,305,6.5,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.495398796,4.761785714,1.162375074,3
Georgia,Athens,10/10/2007,CW 500,11/1/2010,305,6.57,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.495398796,4.761785714,1.20918533,3
Georgia,Athens,10/10/2007,Phoenix,11/1/2010,305,6.76,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.495398796,4.761785714,1.336241738,3
Georgia,Athens,10/10/2007,Evermore,11/1/2010,305,6.8,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.495398796,4.761785714,1.362990455,3
Georgia,Athens,10/10/2007,GA-505,11/1/2010,305,6.83,1118,375,4092.75,847.828,21.88520483,16.27793669,28.33434121,0.132355673,1.495398796,4.761785714,1.383051994,3
