Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3522.72,929.1,20.14366987,14.923503,25.46669628,0.293502233,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3516.02,625.4,20.46624466,15.25568369,25.92113829,0.279507591,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3452,724.1,19.51298909,14.20347295,24.73556235,0.289769593,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
3258.88,802.3,20.79389409,15.9627588,25.85671097,0.299102051,2
2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
2268.02,560.6,22.4565098,17.33257983,27.82236134,0.281483193,1
3516.02,625.4,20.48888355,15.29169268,25.93496999,0.279778752,2
3516.02,625.4,20.48888355,15.29169268,25.93496999,0.279778752,2
3516.02,625.4,20.48888355,15.29169268,25.93496999,0.279778752,2
3516.02,625.4,20.48888355,15.29169268,25.93496999,0.279778752,2
