,Julian Day,Time Since Sown (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,160,597,712.47,83.1,22.918029408845175,16.574766979956323,17.69552305768946,0.25734497129236344,1
1,196,251,666.85,170.3,10.73673469,5.232653061000001,28.60827380667709,0.2855702794240116,1
2,164,973,639.29,66.4,21.433589943245476,14.99317515321087,25.54892085191001,0.24255176028918737,1
3,196,310,544.53,234.7,21.704778381239333,15.59657524811788,26.530152284095642,0.2506664161350601,1
4,273,608,606.47,198.6,23.449438569879128,17.586447982146694,27.124786047573572,0.30333944644950395,2
5,190,1299,480.54,190.5,20.816756051817237,16.84379812861169,29.15133947750944,0.20573529399999999,1
6,273,558,1090.65,144.1,22.41891479011216,15.477552008646066,15.91632653,0.36278273639291225,1
7,181,345,713.62,83.6,22.638655006961873,15.037629164685752,27.183702238064523,0.22652449960502843,2
8,259,1141,809.59,233.2,20.812613343855773,14.956493078105156,27.1828809492761,0.24373146411578497,1
9,239,697,739.45,110.4,10.73673469,20.463336054576533,23.44994202386755,0.22693005081086956,1
10,168,1101,708.56,88.7,20.015941472967647,5.232653061000001,26.913675240310795,0.27571803010525897,1
11,204,89,515.72,88.5,20.722137493902537,11.147059608661486,25.729522695042093,0.29790414145135086,2
12,154,900,696.61,41.7,19.7090789151923,15.467122597396985,29.69897472535799,0.23167872695912856,3
13,171,1496,619.45,94.3,20.753481785959828,17.19545456614216,26.53974202148901,0.2355741486809907,1
14,227,580,700.02,162.4,19.695237664397013,9.793947148719134,15.91632653,0.3332311935785339,1
15,198,803,764.94,127.2,22.83551087799002,16.012447977819996,26.273004430849028,0.23097741607234468,3
16,172,673,894.92,41.1,21.36993969295615,16.63034542371885,27.04928221786405,0.378285714,1
17,152,719,717.48,200.5,21.287724232832748,16.185100571196827,15.91632653,0.2457768879232545,2
18,178,798,889.05,167.6,21.757579049222908,10.593224946011013,25.6269837474579,0.33121943607492876,1
19,200,89,747.03,234.3,19.7838169872,5.389770106330998,17.001775817525232,0.2585518923672632,1
20,236,89,965.08,115.0,20.429358772593236,17.652762778025746,27.05155317734275,0.32729820817989086,1
21,260,508,513.7,70.7,20.356445784072157,7.381475267398044,27.973927857605307,0.2887248905630209,1
22,199,700,701.03,55.6,21.470507819032875,5.232653061000001,28.570201722995293,0.25602393953888125,1
23,172,562,826.84,99.3,19.407044292657982,15.863377249138983,27.965582003086862,0.2615137373858463,2
24,231,322,826.61,213.2,20.96701603580029,7.5837316303365725,27.42476974918934,0.2731549605247591,1
25,136,1041,660.51,117.1,10.73673469,17.794675807064195,15.91632653,0.2539447462361748,1
26,161,415,681.92,110.6,17.953442760655726,16.46552374748082,15.91632653,0.24475759572936562,1
27,262,1831,646.35,121.8,22.461132623104614,16.3950246182705,17.431004005726244,0.20573529399999999,1
28,250,372,569.96,137.1,23.6570051936302,16.806169958667414,22.403334548690026,0.20573529399999999,1
29,166,1274,753.73,41.1,20.748603476911065,9.88403255788642,27.299677071951823,0.27979010210010397,1
30,207,568,680.65,74.4,17.27651407534394,15.464402406358392,22.719099548605843,0.24769510722175417,2
31,196,715,720.04,118.2,20.456713997974234,13.913310835441516,26.306807760938693,0.27677144855079694,2
32,168,1738,731.07,123.6,21.879405121587247,10.680936298898049,25.544432479729668,0.2941183181702854,1
33,199,725,786.33,101.9,20.840404642335024,16.639236490669,15.91632653,0.2794836396875585,1
34,179,977,476.88,166.5,21.669918101011813,12.850053787960286,27.18142933837104,0.2549759129776235,1
35,238,759,674.17,183.0,22.124463175295002,15.589924755546908,26.688991731833305,0.2889341198860858,2
36,176,843,722.97,141.2,23.122503738554382,16.41173967327571,26.237352716991264,0.2399768093070257,1
37,201,584,696.43,129.1,22.28705414396696,5.232653061000001,26.45770495195875,0.27174350929660707,1
38,195,821,669.0,57.3,20.572169283327213,9.842685812582669,15.91632653,0.24233667454266608,1
39,233,89,829.21,152.2,23.294259075714177,5.232653061000001,28.72305557168093,0.26229497899080556,1
40,196,89,664.59,96.8,21.539154036590666,18.320858760426976,28.83463611160093,0.252841099481774,2
41,169,693,631.41,256.5,20.82139026750295,12.202335711255493,27.356501811960634,0.29332393735991313,2
