,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Georgia,Tifton,2/21/2008,Bulldog 805,11/17/2010,341,2.27,817,291,5320.75,1323.896,138.9297511,19.206227389884827,40.19795274,0.24977169371558244
1,Georgia,Midville,2/21/2008,Attention II,11/11/2008,298,2.98,1000,37,3952.07,843.0091204929698,42.58220481,19.21375964713888,26.19026488,0.14281439388745334
2,Georgia,Tifton,2/21/2008,GA-505,11/11/2008,308,2.33,764,52,5320.75,798.2764933540905,35.64446102,15.692692999999998,27.05785151,0.15364360247381587
3,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,264,2.98,572,194,4719.43,677.1653078030997,111.53427847,15.692692999999998,42.38957234,0.6722131990000001
4,Georgia,Midville,11/1/2007,Hybri Force 600,11/20/2008,297,4.0,738,0,5320.75,733.7753642841425,20.58125727,23.132413312129316,31.52246445,0.18834579167075116
5,Georgia,Midville,2/21/2008,TS 8031,8/14/2009,341,3.46,699,0,3829.05,796.1912797596507,20.58125727,21.82953140435528,146.76145654,0.21609770353772584
6,Georgia,Tifton,2/21/2008,PGI 801,8/14/2009,320,2.83,1000,362,3400.1,1323.896,134.72359943,22.602148350610516,59.45503914,0.1409384779568218
7,Georgia,Midville,2/21/2008,Bara 503,12/7/2009,337,4.75,717,390,5320.75,833.9173153780891,20.58125727,33.4422786818755,176.8482793,0.116674048
8,Georgia,Tifton,2/21/2008,Attention II,12/7/2009,331,3.98,286,390,3400.1,599.974,38.3068399,105.98888659999999,26.19026488,0.6722131990000001
9,Georgia,Tifton,2/21/2008,Attention II,8/14/2009,341,4.43,1000,390,5320.75,608.4268186127484,20.58125727,18.6773634352143,38.81348899,0.2018461575828293
10,Georgia,Tifton,2/21/2008,Bulldog 805,12/7/2009,301,6.03,687,158,5320.75,747.4507089684407,20.58125727,22.071270100011624,26.19026488,0.23508923593458356
11,Georgia,Tifton,2/21/2008,Hybri Force 600,11/20/2008,341,4.21,572,357,4962.19,599.974,26.54046805,15.692692999999998,176.8482793,0.116674048
12,Georgia,Tifton,11/1/2007,Attention II,11/17/2010,339,5.09,690,379,5271.0,837.5103899823653,86.95982478,15.692692999999998,176.8482793,0.2217632698646143
13,Georgia,Midville,11/1/2007,Bara 503,11/11/2008,299,5.47,1000,101,5058.69,627.7649616284559,53.70068854,19.45833272695677,26.19026488,0.116674048
14,Georgia,Tifton,11/1/2007,Attention II,11/17/2010,321,4.31,659,184,4987.51,1323.896,70.36184925,17.72693508728653,26.19026488,0.2972817497053772
15,Georgia,Tifton,2/21/2008,Attention II,11/11/2008,315,3.22,696,0,5320.75,849.307955596251,51.70497542,26.242260507154867,47.52919612,0.2951779654886768
16,Georgia,Tifton,2/21/2008,BaraWet 501,8/14/2009,226,5.18,1000,118,5320.75,766.9966559008776,20.58125727,105.98888659999999,26.19026488,0.22692725349162463
17,Georgia,Tifton,2/21/2008,Bulldog 805,11/20/2008,294,6.03,980,106,4964.3,837.6346701047939,25.54512168,15.692692999999998,26.78674523,0.25980419567634017
