,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
1,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
2,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
3,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
4,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
5,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
6,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
7,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
8,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
9,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
10,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
11,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
12,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
13,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
14,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
15,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
16,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
17,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
18,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
19,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
20,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
21,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
22,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
23,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
24,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
25,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
26,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
27,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
28,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
29,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
30,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
31,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
32,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
33,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
34,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
35,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
36,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
37,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
38,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
39,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
40,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
41,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
42,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
43,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
44,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
45,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
46,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
47,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
48,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
49,1856.67,726.2,6.40932163,2.2365963,11.40548102,0.232300809,2
