,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,0.73787745,3.234462802,15.43459803,2941.58,641790.0,1
1,1.893509037,2.026856786,15.78247504,11113.79,457940.0,1
2,1.714646307,3.669497464,12.30260973,4395.97,1212731.0,1
3,1.473240315,2.693900611,12.11860125,4400.25,1282955.0,1
4,1.531008891,3.503684961,16.8084379,7130.0,619238.0,0
5,1.517150961,3.921023513,15.10940887,6206.24,586230.0,1
6,1.365920543,4.032111034,11.65794382,6494.36,724409.0,1
7,1.699825822,4.032111034,14.13380337,6702.28,391732.0,0
8,0.969904043,4.032111034,13.35490763,2603.39,391732.0,1
9,1.583420466,3.609655284,15.62053323,5237.17,513752.0,1
10,2.078584871,1.081503947,13.83839165,7934.55,1242819.0,0
11,1.133890493,3.575582886,14.81394268,4246.34,594112.0,1
12,1.720342354,2.089710487,11.65794382,7205.82,391732.0,1
13,1.79312891,1.72712491,15.70360222,3767.08,590863.0,1
14,1.817167122,2.116636099,12.0881089,5944.87,1515469.0,0
15,1.326081669,3.007938882,14.31962561,4929.3,816662.0,1
16,1.280996656,3.694032129,15.95720294,6711.92,1335277.0,0
17,0.606888059,0.970489344,13.78778564,5719.89,391732.0,2
18,1.141840356,4.032111034,16.40128693,4375.21,391732.0,1
19,2.6326058,1.13696287,14.71896432,5888.41,708455.0,1
20,3.158678826,1.039160637,15.82912643,3754.9,807392.0,0
21,0.542587651,1.470247745,14.49198248,5324.05,391732.0,1
22,1.065976806,3.105138027,15.73874313,9213.6,391732.0,0
23,0.436666667,2.030621104,11.92501726,3234.58,508071.0,2
24,0.800669297,4.032111034,12.72048224,8546.69,651131.0,1
25,1.127464587,1.522757713,14.81848153,1942.04,391732.0,1
26,1.584283436,2.659053512,16.07860914,11113.79,419874.0,0
27,0.816216858,2.224137933,13.72425438,5862.97,391732.0,0
28,0.436666667,4.032111034,15.55659559,6680.56,1348178.0,1
29,0.436666667,4.032111034,15.57462452,11113.79,606923.0,1
30,3.052915831,2.126532544,16.73410488,5369.21,391732.0,1
31,1.309791897,2.480213063,13.76425354,6028.79,481720.0,1
32,1.13338778,0.602516848,14.66909062,5522.16,391732.0,1
33,3.163333333,1.489903458,11.88264583,4353.07,565340.0,1
34,0.919118658,4.032111034,16.11921071,5896.37,1482560.0,1
35,1.467678934,3.991917345,12.38509012,5543.7,781028.0,2
36,1.239608086,2.776483619,15.45534132,4864.79,1091338.0,1
37,1.361730803,3.124896338,14.60828032,11113.79,391732.0,0
38,1.737365584,2.306647485,16.00429586,6552.66,807424.0,1
39,1.485022636,4.032111034,15.75705653,6738.0,963816.0,0
40,0.640453843,1.979206533,15.81979642,8774.75,784489.0,1
41,0.842777525,1.478562606,16.38980114,5863.55,502157.0,0
42,1.053457716,1.651299062,15.54158571,4429.78,911311.0,0
43,1.644003679,2.931366183,14.48491461,4769.82,391732.0,1
44,0.436666667,2.028248964,16.20219494,5981.47,1021223.0,1
45,1.770966319,1.919624974,14.82892005,6215.03,1417898.0,0
46,1.861713162,3.119324631,16.64673444,4004.38,501986.0,1
47,1.913822636,2.25399067,14.00383443,1942.04,391732.0,1
48,1.601366919,1.341726688,15.46122058,2543.08,1342054.0,1
49,1.91576013,3.598623898,11.65794382,2664.21,394126.0,0
50,1.015467032,4.032111034,13.11915292,6570.94,564455.0,1
51,1.193736877,3.008603593,16.1125034,6355.88,416184.0,2
52,1.271483655,4.032111034,14.8785008,7024.26,661845.0,2
53,1.344932921,3.852760429,13.65609222,3982.92,668727.0,0
54,1.355652794,1.92533647,14.93547651,4920.36,927772.0,0
55,2.937997572,1.714747855,13.36721934,5284.29,533164.0,1
56,1.179792269,1.370536714,16.45393351,6895.18,391732.0,1
57,1.399061066,2.339765663,15.65148587,6480.54,391732.0,0
58,1.366998644,2.988681245,12.04925183,6009.08,480787.0,2
59,1.047323256,3.579296316,14.03566087,4576.9,474489.0,1
60,1.566702322,1.3375918,11.68177157,5911.72,391732.0,1
61,0.96193194,1.924310265,16.05300586,7017.53,566212.0,1
62,0.67398894,2.218274413,15.24595643,6442.43,391732.0,0
63,1.776915757,3.172465188,16.85328339,5915.9,1515469.0,1
64,1.277312247,4.032111034,13.85156484,11113.79,391732.0,1
65,2.543906433,2.678872131,11.83499734,6247.11,564379.0,1
66,0.894596239,2.735941194,15.4452307,3012.96,1064140.0,1
67,0.757733003,2.809290952,12.33998324,8745.97,448874.0,1
68,0.940463361,4.032111034,16.75710865,11113.79,1479906.0,0
69,1.202152931,2.003221294,16.52246241,3074.03,677265.0,1
70,2.370784265,2.90107011,12.7729391,7100.19,703329.0,0
71,1.070456951,3.794908513,15.08602572,5091.9,466339.0,1
72,1.866824477,1.847975524,14.75224038,5479.01,498859.0,1
73,2.398755387,3.329903137,15.92379386,5262.74,391732.0,1
74,1.681823098,2.79726352,11.65794382,6237.35,391732.0,1
75,1.123438013,3.651817175,14.84977158,4964.87,1094508.0,1
76,1.219980461,3.098188445,15.45379884,2843.08,483114.0,1
77,0.861844202,0.922573985,13.68599175,5898.25,391732.0,1
78,0.969860775,1.474730896,16.22635315,6404.69,1515469.0,1
79,1.588122344,4.032111034,15.80737407,3998.32,990392.0,1
80,1.08152944,4.032111034,12.51148241,2966.75,1077362.0,1
81,1.351209906,4.032111034,15.43033363,11113.79,391732.0,2
82,1.238636062,4.032111034,16.30434105,3033.35,1013128.0,1
83,2.135518963,4.032111034,12.77570733,3808.24,831221.0,1
84,1.350364776,3.427543512,15.8160686,6088.68,1425778.0,1
85,1.028835795,0.845164649,15.86213858,11113.79,391732.0,1
86,0.436666667,4.032111034,16.85328339,7158.75,1052785.0,2
87,1.462945263,1.715081437,15.50403748,6734.45,739766.0,1
88,1.072884795,3.92118312,16.37969072,5052.32,517830.0,1
89,2.724926563,3.715302067,15.74366205,6984.39,391732.0,1
90,1.093826006,3.114509644,11.93889946,7937.69,391732.0,1
91,1.283790145,3.987374363,16.7444324,6988.2,1515469.0,1
