,Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,115522.0,2264.78,2.314393127,14.62201286,2
1,355794.0,1875.51,1.845229311,14.75626226,0
2,128764.0,2230.68,2.186609604,14.30940997,2
3,128219.0,2582.27,1.749665979,13.88004006,0
4,388990.0,1337.76,1.602032121,16.24047167,1
5,370198.0,2168.46,4.681754441,15.77791028,0
6,347517.0,1420.18,3.911874183,14.40695209,1
7,351888.0,2137.74,2.700270171,17.17083683,0
8,261349.0,1218.6,3.241676477,16.08716247,1
9,132718.0,1688.42,2.683281006,16.12620518,1
10,148526.0,865.74,1.785045503,15.52244928,1
11,334530.0,1449.3,2.837947518,15.4011441,1
12,360295.0,2788.98,-0.326393035,11.2583727,1
13,141038.0,1778.44,0.745321208,15.56085792,1
14,375250.0,1030.78,1.78856559,16.08023308,1
15,362321.0,1962.4,2.974098374,16.67655202,1
16,360434.0,1903.1,0.773190296,15.79666115,1
17,364063.0,2339.22,0.090273632,15.46190974,1
18,381292.0,932.26,1.812361996,15.33488481,1
19,352817.0,1972.65,1.955967287,12.45794178,1
20,366941.0,912.23,0.639504308,16.25489187,2
21,262975.0,1158.97,2.750391719,14.70600472,1
22,134959.0,1026.59,2.277116141,16.37957457,1
23,122211.0,1818.59,4.263759952,14.57287644,1
24,373522.0,998.15,3.661804122,12.18646906,1
25,375534.0,782.12,2.411045062,15.04852073,0
26,361375.0,2178.81,3.526737757,15.64699574,2
27,154517.0,1505.78,3.342292632,16.70497089,1
28,142506.0,1878.59,1.261370442,15.63578351,1
29,134880.0,606.92,2.434775248,14.87468241,1
30,233040.0,850.66,4.085820015,13.93916573,1
31,114947.0,1205.78,3.778605374,13.83500732,1
32,154191.0,1786.64,2.064957147,16.80510432,1
33,380511.0,881.01,1.979454315,16.18502278,2
34,286232.0,2318.22,3.030881532,16.54277231,1
35,157309.0,720.98,2.066222338,13.59584676,0
36,127079.0,1809.84,3.159054345,14.77236547,1
37,264938.0,756.47,4.545910477,13.33592153,1
