,id_no,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,341,3.88,630,0,5320.75,599.974,20.58125727,16.42186712204532,29.05286186,0.17177498850439865
1,1,323,5.13,321,148,5320.75,685.782,20.97238969,16.313125036551224,29.26207143,0.14714840555333525
2,2,255,2.31,655,164,4305.04,599.974,21.38797913,16.10452409011547,29.2525205,0.16377532553041096
3,3,341,3.03,655,143,4767.57,622.472,20.58125727,16.65910560023163,28.25255354,0.1382315941669273
4,4,226,3.89,655,107,4415.78,716.018,21.19833188,18.43894762,29.26207143,0.116674048
5,5,341,2.27,655,184,4476.67,748.379,21.18282568,18.43894762,26.79568347,0.118545155474525
6,6,331,5.67,655,179,5320.75,1043.824,20.58125727,15.948766330750505,28.94921701,0.1351470650338744
7,7,304,3.77,655,0,5320.75,599.974,20.58125727,16.179663292229293,28.09283781,0.116674048
8,8,341,5.66,655,0,5320.75,741.377,20.58125727,16.483306459135736,28.1149109,0.16317022868438458
9,9,309,6.03,576,150,4441.37,679.238,20.58125727,16.49277758632901,28.56436516,0.1817368846592664
10,10,324,6.03,655,311,4043.48,612.393,20.58125727,16.60798154485329,29.26153528,0.17374083955661557
11,11,336,2.27,655,0,5320.75,599.974,20.58125727,16.604987579128274,29.12507843,0.116674048
12,12,341,3.86,655,28,4493.2,599.974,20.58125727,16.465637077568093,27.33867864,0.116674048
13,13,324,5.8,655,53,4698.32,599.974,20.58125727,15.692692999999998,27.86300263,0.19128837399999998
14,14,322,3.94,655,129,4639.29,627.418,20.58125727,16.455207594032537,28.06674054,0.16607318100222213
15,15,285,5.44,655,102,4828.11,693.625,21.30106839,16.530050798342113,27.95589037,0.19128837399999998
16,16,322,6.03,655,257,5320.75,764.057,20.58125727,16.872156846468126,29.26207143,0.15540528319917415
17,17,337,3.06,655,0,4455.23,599.974,20.58125727,16.796543602456314,29.26207143,0.116674048
18,18,310,2.83,557,0,4744.98,599.974,20.58125727,16.313641111622115,29.25441146,0.13818526933020175
19,19,317,3.35,573,132,4618.9,599.974,20.58125727,15.692692999999998,27.19898371,0.12160859149140482
20,20,319,2.86,345,0,5320.75,827.506,20.58125727,16.10471914811404,29.26207143,0.12582770067639554
21,21,341,3.81,655,172,4076.11,599.974,20.89627697,16.516712739622783,27.91084333,0.15516854607823663
22,22,309,4.34,655,74,5320.75,599.974,20.95488346,15.692692999999998,29.23259656,0.116674048
23,23,304,2.27,655,58,5320.75,678.163,20.62445853,16.654536805004067,27.83216829,0.13149794699765385
24,24,341,4.05,655,36,3891.83,599.974,20.60012669,15.693592322764136,29.13287724,0.19006647756247258
25,25,341,4.33,655,321,4559.5,704.3,20.75436768,18.43894762,28.25967391,0.13093490332181773
26,26,341,3.37,655,176,4685.06,599.974,20.58125727,15.692692999999998,29.14767087,0.13961876115360086
27,27,341,4.31,264,221,3791.59,824.798,20.58125727,16.501300108073565,29.26207143,0.17114057995013368
28,28,341,2.27,650,0,4542.06,1323.896,20.58125727,16.79841786063307,26.19026488,0.1381085777027391
29,29,341,6.03,655,200,5320.75,599.974,20.6432055,16.328390642281317,27.64691642,0.11750032909449004
30,30,265,3.96,655,50,3653.39,724.675,20.58125727,16.658062615763654,28.0886981,0.116674048
31,31,329,2.27,655,132,4476.73,920.689,20.58125727,18.141880598277428,28.69043061,0.116674048
32,32,341,6.03,655,77,3642.07,599.974,20.58125727,16.21140359442882,27.07100696,0.1432664617737617
33,33,310,4.47,655,286,4666.74,615.454,20.58125727,16.362305494065186,28.02353842,0.116674048
34,34,311,2.27,655,0,3400.1,599.974,20.58125727,15.692692999999998,28.92892442,0.116674048
35,35,341,3.99,645,86,4152.57,607.315,20.58125727,16.426943365009958,28.45810816,0.12495563768023257
36,36,323,2.58,552,158,4783.21,781.848,21.24863556,16.112420909458933,28.27056006,0.16492814377496162
37,37,338,3.23,655,390,4764.82,599.974,20.58125727,16.776428672704583,29.26207143,0.14875661818232977
38,38,273,2.27,655,153,4606.15,719.956,20.58125727,16.701612112812008,28.06344031,0.19128837399999998
39,39,316,3.48,654,236,5320.75,716.845,20.66922869,16.034930387703533,26.19026488,0.18500407854418363
40,40,331,3.41,655,108,4330.23,599.974,20.58125727,16.565209711662636,27.59578873,0.17384296668703242
41,41,329,2.71,655,85,3400.1,599.974,21.0180927,16.119944125120917,27.50647021,0.14661058642310865
42,42,305,4.04,655,115,4805.83,688.551,20.89185805,16.738950571545065,29.26207143,0.116674048
43,43,341,5.69,655,172,5320.75,670.876,20.58125727,16.278098101374557,27.60616275,0.116674048
44,44,341,4.93,655,100,4610.03,599.974,20.61580073,15.692692999999998,27.41084774,0.116674048
45,45,341,2.29,462,0,4410.05,785.194,21.06690256,16.999983035767595,29.26207143,0.116674048
46,46,259,4.35,655,114,4596.51,736.819,20.58125727,15.900855504535388,27.17877136,0.13088736555490646
47,47,333,2.49,655,138,4481.78,611.449,20.58125727,15.779226305292381,29.11860783,0.12081383157377468
48,48,331,3.4,449,0,4676.46,807.542,20.58125727,16.894967356576153,29.26207143,0.116674048
49,49,316,3.97,655,0,4881.41,599.974,20.58125727,16.40846473953012,28.86039633,0.19128837399999998
50,50,341,4.09,505,60,4825.46,635.892,21.61445936,16.28245851639505,29.26207143,0.19128837399999998
51,51,341,6.03,655,0,4739.98,761.075,20.58125727,16.023575020708915,28.96958111,0.13767426551556253
52,52,341,2.71,655,175,5069.33,1164.087,20.58125727,16.62363554111376,27.9005203,0.13216480227799454
53,53,239,2.72,655,206,4585.79,599.974,21.57442483,16.36509236365142,27.34414501,0.13378674084646797
54,54,281,2.27,646,0,5319.02,599.974,20.94812822,16.253107122929915,27.3895865,0.116674048
55,55,341,6.03,655,72,5320.75,629.082,20.58125727,16.64989297203585,28.01216172,0.116674048
56,56,226,2.56,655,116,4652.72,599.974,20.58125727,16.45364387974612,29.26207143,0.116674048
57,57,234,5.31,655,132,5320.75,779.999,20.58125727,16.78664921425319,26.19026488,0.116674048
58,58,341,2.44,655,0,5320.75,599.974,20.58125727,15.741098545832752,26.73811472,0.12008446822087925
59,59,341,2.9,626,193,4708.65,615.603,20.58125727,15.692692999999998,27.99038601,0.1482234133916827
60,60,341,4.2,655,104,4672.1,599.974,20.58125727,15.858357139017192,27.99187639,0.12046939345161141
61,61,341,2.27,655,0,4137.45,599.974,21.31284528,15.692692999999998,29.04878279,0.1630557590889621
62,62,331,3.56,655,208,5320.75,599.974,21.45754502,15.692692999999998,29.26207143,0.1649209345490296
63,63,316,2.27,655,0,4914.01,599.974,20.58125727,16.011016080455892,28.18710228,0.12622682256542717
64,64,341,3.79,655,93,5320.75,599.974,20.58125727,16.720444579359814,29.00193305,0.116674048
65,65,333,4.01,655,0,4123.15,748.003,20.58125727,16.71229491894476,29.16052404,0.116674048
66,66,341,2.46,655,253,5320.75,599.974,20.58125727,16.30661003519557,28.60899339,0.1722050198853153
67,67,341,4.4,655,86,4353.32,676.811,20.58125727,16.355623443450522,29.26207143,0.116674048
68,68,341,3.38,655,214,4474.33,716.565,22.22083283,16.70291455932869,26.9940547,0.116674048
69,69,341,2.94,595,256,5320.75,726.837,21.54953943,16.587238625453825,28.1158069,0.14830917220128353
70,70,326,2.75,600,231,4830.39,677.542,20.58125727,16.147204874838984,27.67779745,0.116674048
71,71,336,3.78,655,54,5320.75,599.974,21.58713625,16.114180925685076,27.56819563,0.19128837399999998
72,72,341,2.27,655,0,3868.47,599.974,20.58125727,15.692692999999998,28.44179069,0.172213525723973
73,73,327,2.6,655,331,4715.94,626.011,20.58125727,18.43894762,28.3142748,0.116674048
