,id_no,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,341,3.34,511,285,5320.75,599.974,22.21882761,17.052197483094332,26.55770347,0.16166030505394138
1,1,329,2.39,330,0,3400.1,1323.896,20.58125727,16.82153022361716,26.26237962,0.17528656238403964
2,2,335,3.95,655,390,3400.1,1323.896,20.58125727,18.43894762,26.36053528,0.1332240156533361
3,3,226,4.32,264,0,5320.75,892.752,23.32767857,15.692692999999998,26.19026488,0.116674048
4,4,327,2.27,264,99,3556.56,903.489,23.32767857,18.43894762,28.05904629,0.19128837399999998
5,5,338,5.81,341,377,4078.86,1323.896,22.31915153,18.43894762,27.99753857,0.116674048
6,6,341,2.27,339,82,4561.84,1323.896,21.60715353,15.960248678519454,27.15160154,0.15094654613236047
7,7,326,6.03,274,312,3400.1,1323.896,23.32767857,18.43894762,28.31170778,0.13261222425096209
8,8,278,3.32,552,0,3400.1,1323.896,22.82151444,16.871785208372785,27.64498863,0.1738221489952987
9,9,291,4.45,646,0,3444.19,1323.896,23.32767857,16.30664349522262,26.83420668,0.15730696224707155
10,10,323,2.57,620,76,3584.9,735.976,23.32767857,16.730342620005608,29.26207143,0.19128837399999998
11,11,341,3.99,655,390,3676.1,725.528,21.21590529,16.580459870881892,29.26207143,0.1768137215280012
12,12,322,3.25,528,248,4083.57,925.09,23.32767857,15.726082545177023,29.26207143,0.18935982331268206
13,13,296,2.27,607,240,4428.25,1323.896,21.8583233,16.470156125388325,28.02632502,0.15865347792635914
14,14,324,2.27,264,0,3895.22,1323.896,20.65080273,17.022225039992037,27.66141387,0.116674048
15,15,312,3.02,513,0,3583.44,823.816,20.58125727,18.43894762,28.76032799,0.16008502594986912
16,16,226,2.29,355,96,3400.1,1323.896,22.53164504,18.43894762,27.75843987,0.15429904261050476
17,17,333,6.03,636,0,3684.45,949.508,23.21153416,15.692692999999998,28.76428942,0.116674048
18,18,320,3.95,394,90,3400.1,1143.7,21.58087012,15.805683559250665,26.19026488,0.116674048
19,19,314,5.55,533,390,4572.58,1113.018,21.93041588,15.692692999999998,28.54129145,0.18269108635092324
20,20,341,5.6,264,0,4229.53,633.839,20.72532236,18.32149602866516,26.87670009,0.116674048
21,21,250,4.69,655,345,3400.1,939.678,20.58125727,17.58104903397134,29.26207143,0.15392627505362136
22,22,245,5.56,264,0,4740.35,1323.896,21.38107059,18.43894762,29.26207143,0.116674048
23,23,323,4.8,517,30,3529.88,1323.896,21.56085578,15.692692999999998,29.26207143,0.16316747828596176
24,24,257,3.57,316,84,3400.1,804.697,23.32767857,18.43894762,27.97396761,0.116674048
25,25,247,4.84,264,0,3400.1,1323.896,20.58125727,18.43894762,28.50446691,0.116674048
26,26,271,3.81,655,6,3400.1,881.146,21.89370719,16.316525267219173,27.28192032,0.116674048
27,27,312,5.06,625,0,3400.1,1323.896,20.83787412,15.692692999999998,26.82786729,0.12773440158522295
28,28,341,2.27,264,281,3400.1,1323.896,21.09539886,16.5861365158092,27.72593323,0.19128837399999998
29,29,330,4.74,526,390,3400.1,1267.632,21.97046573,16.15694762237241,28.50254248,0.116674048
30,30,341,4.28,655,323,3833.34,1323.896,23.22498297,15.692692999999998,27.51152571,0.12112062652062236
31,31,341,2.62,264,272,3400.1,1323.896,22.73568626,15.977701856089658,29.26207143,0.1289375976698772
32,32,226,2.27,576,0,4106.73,1323.896,21.42893034,16.444210330212094,26.56775371,0.15553130470271917
33,33,315,2.27,655,0,3400.1,1323.896,22.31543967,15.871681231399137,28.1686665,0.116674048
34,34,339,4.66,402,0,3400.1,1323.896,22.70302582,16.09810765426279,29.26207143,0.19128837399999998
35,35,341,4.75,575,225,3400.1,862.582,22.10354075,16.385990403266092,26.19026488,0.116674048
36,36,341,2.27,486,390,5320.75,1036.828,22.67787294,16.912350448880453,27.88616603,0.1839498577778216
37,37,337,2.27,483,264,4101.15,1323.896,22.20167087,17.913944567503776,28.57776635,0.116674048
38,38,258,2.27,264,163,4464.78,1323.896,23.32767857,15.788418280231127,27.06002395,0.19128837399999998
39,39,317,2.27,264,390,3400.1,1080.894,23.10750983,15.848182837896678,26.19026488,0.165720250704588
40,40,296,6.03,558,55,5152.72,1138.37,23.32767857,17.00809796986921,27.69361973,0.116674048
