,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,2/21/2008,Hybri Force 600,12/7/2009,341,2.27,1000,0,5320.75,1298.858939846937,32.86444931,15.692692999999998,62.497454,0.116674048
1,1,Georgia,Midville,2/21/2008,CW 36106,11/11/2008,289,2.74,486,15,5320.75,599.974,20.58125727,15.692692999999998,26.19026488,0.6077688358133604
2,2,Georgia,Tifton,2/21/2008,Hybri Force 700,12/7/2009,275,6.03,519,45,4936.24,599.974,137.69239588,15.692692999999998,26.19026488,0.5385993792490154
3,3,Georgia,Tifton,11/1/2007,Hybri Force 700,11/17/2010,324,3.43,404,0,3533.83,680.894055220795,73.71682744,26.7247768295587,176.8482793,0.116674048
4,4,Georgia,Midville,2/21/2008,TS 8031,11/20/2008,308,4.21,1000,0,3882.65,1261.2765965338733,138.9297511,19.734112290312094,106.9679306,0.24805904564165893
5,5,Georgia,Midville,2/21/2008,Bara 503,8/14/2009,341,5.15,734,282,3946.79,605.9021878440612,20.58125727,15.692692999999998,46.30095592,0.116674048
6,6,Georgia,Midville,2/21/2008,BaraWet 501,11/17/2010,341,3.76,264,24,5320.75,1026.8512150320548,138.9297511,105.98888659999999,26.19026488,0.6722131990000001
7,7,Georgia,Midville,2/21/2008,Attention II,12/7/2009,341,6.03,512,0,3456.24,745.6331285033275,76.76667535,42.14073747490762,26.19026488,0.116674048
8,8,Georgia,Tifton,2/21/2008,PGI 801,11/20/2008,341,6.03,647,0,5320.75,599.974,20.58125727,15.692692999999998,176.8482793,0.15979259485043615
9,9,Georgia,Tifton,11/1/2007,TS 8031,11/20/2008,341,6.03,264,0,5320.75,599.974,84.79992981,105.98888659999999,40.99027277,0.5419153331701837
10,10,Georgia,Tifton,2/21/2008,Hybri Force 700,11/11/2008,339,3.1,291,175,5283.57,653.8410821115286,138.9297511,89.71521350619469,26.19026488,0.3653990551015838
11,11,Georgia,Midville,11/1/2007,PGI 909,11/20/2008,242,6.03,1000,348,4008.41,1214.4982864963845,113.61459158,58.61293761968425,125.3381137,0.116674048
12,12,Georgia,Tifton,11/1/2007,Hybri Force 700,12/7/2009,287,2.62,784,270,4306.71,1138.4693466469969,138.9297511,23.067269745078256,176.8482793,0.116674048
13,13,Georgia,Midville,11/1/2007,TS 8031,11/17/2010,226,4.27,1000,239,5317.2,1274.0146058347939,138.9297511,58.08273989092305,72.67351036,0.6537290760443237
14,14,Georgia,Midville,2/21/2008,Hybri Force 700,11/17/2010,341,3.61,628,0,5320.75,663.8169711709863,50.93763663,22.28647071209705,26.19026488,0.16952280296813396
15,15,Georgia,Tifton,11/1/2007,PGI 909,11/11/2008,339,6.03,934,0,4801.3,833.6709801417203,138.9297511,89.95988438153654,86.16419521,0.116674048
16,16,Georgia,Tifton,2/21/2008,CW 36106,11/11/2008,226,2.27,1000,0,4054.35,737.7010483653561,20.58125727,76.0367176889047,165.39094833,0.17021328974521793
17,17,Georgia,Midville,2/21/2008,GA-505,11/17/2010,341,3.15,775,37,3400.1,599.974,137.86613464,43.4308751951503,82.06906804,0.3730871407250789
18,18,Georgia,Tifton,11/1/2007,GA-505,12/7/2009,292,2.27,281,0,3737.17,599.974,24.91046027,50.8730320313295,176.8482793,0.116674048
19,19,Georgia,Tifton,11/1/2007,Hybri Force 700,12/7/2009,320,5.73,615,219,5320.75,1213.4340534132994,138.9297511,87.26976602070901,37.74805979,0.22881533739364074
