,id_no,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,341,4.25,655,110,5119.36,627.709,20.70419682,16.3085172938912,28.12325713,0.12560167954512
1,1,341,6.03,264,390,3400.1,903.034,20.58125727,16.13094684700414,27.45490468,0.1633067649042011
2,2,226,5.24,264,0,4602.35,599.974,20.58203233,16.904254842345896,28.424608,0.18637406341932256
3,3,341,4.01,350,67,3626.01,787.251,22.00541285,18.43894762,27.99763273,0.19128837399999998
4,4,326,5.74,655,35,3584.56,725.044,20.58125727,16.531123871116588,28.46837863,0.18892278796499407
5,5,307,2.87,264,390,3400.1,746.742,20.58125727,15.692692999999998,29.26207143,0.18071369726724226
6,6,341,5.77,390,354,3400.1,634.428,21.04596059,15.692692999999998,26.59050496,0.17360880841300724
7,7,321,3.26,264,0,5232.54,674.306,20.58125727,18.43894762,29.26207143,0.15366968279449722
8,8,226,2.27,638,371,4400.4,791.114,21.50478465,16.035199846083515,28.22834306,0.1550841015931636
9,9,331,2.6,655,14,4149.45,654.726,23.32767857,16.837623687511684,29.1294298,0.1628462095901937
10,10,341,6.03,264,62,3400.1,839.576,20.81525932,16.21159145847054,28.06151917,0.19128837399999998
11,11,322,3.55,268,183,5320.75,599.974,21.71884088,16.46506961043912,29.26207143,0.19128837399999998
12,12,341,4.85,264,383,5316.22,922.684,20.63763514,16.15540569596751,27.01124879,0.1862248373724678
13,13,341,3.18,264,390,5320.75,599.974,22.38627972,18.43894762,29.26207143,0.16671867712489624
14,14,318,2.27,264,117,5298.94,635.863,20.58125727,16.121508634096163,29.26207143,0.1900687013575385
15,15,305,2.27,264,0,4528.98,599.974,23.32767857,16.5813347500589,29.26207143,0.16613565802279257
16,16,298,5.1,516,390,5270.3,822.324,22.6465543,16.04154424859255,26.67364235,0.13083535508224609
17,17,341,2.27,608,268,3400.1,621.93,20.58125727,18.068152765772016,27.30987322,0.1556214394696586
18,18,285,3.46,264,390,5188.74,618.205,20.68266727,16.513613990896253,28.05597024,0.1891558618375576
19,19,341,2.27,344,334,3572.47,762.603,21.51174548,16.617522330290118,27.12272412,0.19128837399999998
20,20,310,2.27,264,316,3909.14,738.034,21.9153919,16.460200166730942,29.26207143,0.13350332432605286
21,21,320,2.27,264,24,3980.49,651.275,21.83417065,16.067478828088017,26.19026488,0.15819302601150642
22,22,323,3.06,622,390,3400.1,651.698,22.57675721,15.930246785548459,27.62003889,0.19128837399999998
23,23,341,6.03,479,140,4545.57,599.974,20.91742461,15.734776461053105,28.03350197,0.16566080486475607
24,24,341,4.74,507,160,3400.1,599.974,21.8654647,16.159726769507305,29.23010954,0.1751553291541047
25,25,341,4.68,264,390,3552.2,776.494,23.32767857,18.43894762,29.26207143,0.116674048
26,26,226,6.03,264,0,5069.56,606.872,21.61739495,16.495800870411735,29.26207143,0.19015069386113506
27,27,341,5.87,602,386,4819.8,635.866,20.58125727,15.692692999999998,29.26207143,0.13121554947183697
28,28,226,6.03,266,60,5320.75,740.974,20.97373287,16.405776076217474,26.19026488,0.116674048
29,29,294,6.03,469,335,4342.57,668.13,21.28654778,16.25678945191921,29.26207143,0.12867386642233036
30,30,318,5.83,264,246,3436.07,683.021,20.58125727,18.194556177525325,29.26207143,0.116674048
31,31,251,6.03,331,76,3400.1,802.863,20.58125727,15.927395163454776,29.26207143,0.1354752333600346
32,32,312,5.22,264,348,5275.22,685.464,23.19403999,16.784940221772192,29.26207143,0.14849554068557286
33,33,226,3.7,264,69,5320.75,840.396,23.32767857,16.811889236968998,29.26207143,0.19128837399999998
34,34,341,3.07,319,390,5120.67,853.757,23.32767857,15.692692999999998,26.19026488,0.19128837399999998
35,35,341,3.8,472,375,3400.1,805.023,23.32767857,16.315418736016944,29.26207143,0.1720136188091787
36,36,341,2.27,264,119,4461.93,599.974,21.7602528,16.56166558587912,26.50629545,0.17235449881205767
37,37,339,4.61,645,390,4241.09,672.035,21.58075151,16.527419240453874,28.53755836,0.1566404196095001
38,38,226,3.66,264,390,4965.3,680.28,23.32767857,15.692692999999998,26.19026488,0.19128837399999998
39,39,255,6.03,655,97,5320.75,771.574,20.70122809,15.960816440489682,27.65485924,0.13595081725918853
40,40,300,4.61,655,390,4746.87,886.462,21.64068596,15.692692999999998,27.70464984,0.18106741425833117
41,41,312,6.03,333,342,4718.2,790.972,23.32767857,15.692692999999998,28.63930458,0.18225927522353882
42,42,341,4.22,264,173,4399.01,872.979,21.80588964,15.692692999999998,29.26207143,0.17404944254158136
43,43,341,6.03,365,390,5320.75,827.192,21.46383266,16.291863854940537,29.26207143,0.15143715650134998
44,44,226,2.27,484,390,3815.59,695.571,22.57273218,16.501237265972915,27.94148543,0.14936262086913238
45,45,331,4.13,264,148,3425.71,928.534,21.76617248,16.427971106717315,28.9536072,0.1297523262517227
46,46,251,2.27,504,390,4603.5,787.083,21.35803207,16.60292045364503,27.86917018,0.12780435827302875
47,47,338,2.69,428,293,3475.86,599.974,22.86000783,17.801089291051312,27.8284262,0.116674048
48,48,328,3.72,264,264,3765.4,845.666,21.27430966,16.37050747755367,29.26207143,0.19128837399999998
49,49,336,4.55,431,169,4164.43,700.942,22.14397461,16.74244593359281,28.43560927,0.18618439191515196
