,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,2/21/2008,Attention II,11/11/2008,316,3.13,264,380,3400.1,707.4100929785982,28.73866294,36.604241033494496,45.1220702,0.5606588054706898
1,1,Georgia,Tifton,2/21/2008,Hybri Force 600,11/20/2008,231,6.03,264,111,5320.75,893.2612333738463,20.58125727,16.226662348982398,105.26042477,0.6722131990000001
2,2,Georgia,Midville,2/21/2008,Bulldog 805,11/17/2010,268,2.27,561,390,4923.98,811.1680327130031,20.58125727,15.692692999999998,26.19026488,0.6722131990000001
3,3,Georgia,Midville,11/1/2007,BaraWet 501,8/14/2009,329,4.2,644,25,4026.5,715.0481886028655,20.58125727,15.692692999999998,26.19026488,0.116674048
4,4,Georgia,Midville,2/21/2008,PGI 801,11/11/2008,304,3.94,264,315,3400.1,786.0024534351743,33.60452341,105.98888659999999,40.69140508,0.532685468337198
5,5,Georgia,Tifton,2/21/2008,Bara 503,11/17/2010,252,4.4,264,359,3450.69,599.974,42.98831862,15.692692999999998,26.19026488,0.6722131990000001
6,6,Georgia,Tifton,2/21/2008,TS 8031,12/7/2009,341,3.3,610,317,4035.08,1189.2760194120417,20.58125727,18.800906955274215,39.52570609,0.6722131990000001
7,7,Georgia,Midville,2/21/2008,BaraWet 501,11/17/2010,226,4.09,264,336,3862.96,1323.896,20.58125727,15.692692999999998,176.8482793,0.6722131990000001
8,8,Georgia,Tifton,2/21/2008,BaraWet 501,11/11/2008,341,2.27,611,73,4609.86,1323.896,23.48143179,15.692692999999998,26.19026488,0.6722131990000001
9,9,Georgia,Midville,2/21/2008,Attention II,11/17/2010,320,2.27,867,390,3523.18,822.2985750925965,41.84496133,15.692692999999998,145.16155123,0.14127412308232076
10,10,Georgia,Midville,11/1/2007,Bulldog 805,12/7/2009,321,2.65,264,295,4167.11,1270.8931602626424,20.58125727,31.308919554879395,62.83117591,0.2621915477343317
11,11,Georgia,Midville,11/1/2007,TS 8031,12/7/2009,232,2.27,295,204,4551.64,1323.896,20.58125727,27.942719528104902,26.19026488,0.16284468913098502
12,12,Georgia,Tifton,2/21/2008,Bulldog 805,8/14/2009,341,4.06,511,289,4845.34,664.2175397998919,20.58125727,105.98888659999999,42.5440769,0.6722131990000001
