,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,2/21/2008,Attention II,11/11/2008,300,5.56,630,0,4915.39,680.4782879341203,20.58125727,31.03126576314588,148.09115867,0.11721846335855339
1,1,Georgia,Midville,11/1/2007,BaraWet 501,11/17/2010,341,4.59,691,0,3608.65,1323.896,25.30459767,66.77896393061305,26.19026488,0.5095215030764948
2,2,Georgia,Midville,2/21/2008,GA-505,11/17/2010,341,6.03,264,2,4596.79,666.1410246374978,23.93310377,15.692692999999998,111.81826089,0.20011241447062925
3,3,Georgia,Tifton,11/1/2007,GA-505,8/14/2009,341,4.1,523,215,5320.75,711.732027267025,36.42539146,105.98888659999999,96.40334787,0.4300552396741987
4,4,Georgia,Tifton,2/21/2008,Attention II,11/17/2010,321,2.92,264,0,4343.42,1323.896,20.58125727,61.28764105356948,176.8482793,0.16653762589445983
5,5,Georgia,Tifton,2/21/2008,Attention II,11/20/2008,311,3.58,1000,0,4621.28,599.974,37.37359189,58.019790296582656,70.7581713,0.116674048
6,6,Georgia,Midville,2/21/2008,Bara 503,12/7/2009,253,3.54,281,0,4058.71,1323.896,38.83744213,26.00805409082242,121.58849397,0.116674048
7,7,Georgia,Tifton,11/1/2007,CW 36106,11/17/2010,286,5.28,264,3,4420.11,648.2142781841837,89.95754281,15.692692999999998,43.96954739,0.6722131990000001
8,8,Georgia,Tifton,11/1/2007,Attention II,11/11/2008,341,6.03,264,0,5170.76,924.8759637849666,30.44992876,15.692692999999998,176.8482793,0.6722131990000001
9,9,Georgia,Midville,2/21/2008,PGI 909,11/11/2008,341,3.61,264,22,3907.57,803.2739660204606,46.96499386,73.30654923522548,176.8482793,0.12498960205093568
10,10,Georgia,Midville,11/1/2007,PGI 801,11/11/2008,341,6.03,715,0,3514.77,789.1179111205604,20.58125727,15.692692999999998,176.8482793,0.20230600506010635
11,11,Georgia,Tifton,11/1/2007,Attention II,12/7/2009,226,5.24,829,25,5062.46,1323.896,23.17494225,15.692692999999998,176.8482793,0.116674048
12,12,Georgia,Midville,11/1/2007,TS 8031,11/17/2010,287,2.34,459,0,3400.1,862.0850846711681,23.18218635,48.89607511954081,81.95514811,0.6722131990000001
