,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,11/1/2007,Bulldog 805,11/11/2008,281,4.82,264,388,5320.75,1323.896,26.7978585,88.78554588142897,176.8482793,0.15134730993285372
1,1,Georgia,Midville,2/21/2008,BaraWet 501,11/20/2008,341,3.89,1000,331,3838.12,677.7354253421174,42.8079737,15.692692999999998,137.99604195,0.116674048
2,2,Georgia,Tifton,2/21/2008,PGI 909,8/14/2009,331,5.61,264,390,4133.65,703.9712690764518,138.9297511,24.650398229687294,176.8482793,0.1682221302407075
3,3,Georgia,Tifton,11/1/2007,Attention II,11/11/2008,267,2.45,776,0,5320.75,763.5492261290899,31.21807049,31.519657582329774,176.8482793,0.116674048
4,4,Georgia,Tifton,11/1/2007,Attention II,8/14/2009,226,2.55,509,253,3698.07,894.4117281467047,39.31320442,15.692692999999998,118.1466935,0.116674048
5,5,Georgia,Tifton,2/21/2008,Attention II,11/17/2010,268,2.59,436,362,4969.4,1323.896,138.9297511,33.75895797674084,36.70975284,0.6722131990000001
6,6,Georgia,Midville,11/1/2007,Attention II,8/14/2009,251,5.27,1000,390,5320.75,1323.896,37.80973085,15.692692999999998,73.62129799,0.116674048
7,7,Georgia,Tifton,2/21/2008,Hybri Force 600,8/14/2009,341,4.67,371,390,3417.06,1323.896,138.9297511,20.124481007494758,26.19026488,0.22252128012540728
8,8,Georgia,Tifton,2/21/2008,Bulldog 805,11/17/2010,321,4.09,1000,390,4283.74,907.7284443165706,44.09840899,34.61593191293056,34.53199979,0.6722131990000001
9,9,Georgia,Midville,2/21/2008,Attention II,8/14/2009,341,4.91,1000,378,5320.75,1246.8210460743906,48.15736137,79.41273344241586,176.8482793,0.116674048
10,10,Georgia,Tifton,11/1/2007,Attention II,11/17/2010,341,2.97,1000,45,4007.51,1323.896,20.58125727,32.83659920110154,148.54325445,0.116674048
11,11,Georgia,Midville,2/21/2008,Attention II,8/14/2009,341,2.27,781,251,5320.75,632.2697164857459,107.80151912,33.41045405285705,176.8482793,0.116674048
12,12,Georgia,Tifton,2/21/2008,PGI 801,12/7/2009,341,3.04,470,390,4101.91,601.1143803909542,131.70508319,19.775489776883646,176.8482793,0.16385404978619214
13,13,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,328,4.62,713,220,3820.47,813.2002989922169,27.32393173,105.98888659999999,26.19026488,0.116674048
14,14,Georgia,Midville,11/1/2007,PGI 801,11/17/2010,263,2.27,604,390,5320.75,1102.4834298270348,20.58125727,20.065899652363047,99.37022916,0.116674048
15,15,Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,290,3.34,721,390,5320.75,1323.896,36.80765049,33.714169501698265,168.96866615,0.12257761209944706
16,16,Georgia,Tifton,2/21/2008,Bulldog 805,11/11/2008,331,2.27,432,390,3400.1,661.2385153513742,32.1808686,68.09460621059256,176.8482793,0.41392993348022145
17,17,Georgia,Midville,2/21/2008,Bulldog 805,11/20/2008,337,2.27,796,10,5168.54,909.6914421942752,20.58125727,76.61744441225817,77.9479951,0.116674048
18,18,Georgia,Midville,2/21/2008,BaraWet 501,12/7/2009,253,5.77,1000,390,4199.48,776.7944773055868,26.76265684,16.264603924834393,26.19026488,0.5735435165296917
19,19,Georgia,Tifton,2/21/2008,PGI 801,11/11/2008,341,4.51,654,262,3968.88,1140.127898115673,27.2601454,24.832656194971662,42.42640105,0.116674048
20,20,Georgia,Tifton,2/21/2008,Bulldog 805,11/17/2010,341,2.69,605,390,3637.7,758.3855159297538,40.65586838,15.692692999999998,98.12673878,0.549523862140222
