,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,11/1/2007,GA-505,11/17/2010,324,2.59,1000,0,3400.1,719.537205747738,33.79148164,15.692692999999998,26.19026488,0.5910835840609108
1,1,Georgia,Tifton,11/1/2007,Hybri Force 700,8/14/2009,290,4.15,657,0,4723.27,1016.6907085023518,63.58728401,15.692692999999998,26.19026488,0.6722131990000001
2,2,Georgia,Tifton,11/1/2007,Bara 503,11/11/2008,341,2.7,627,251,4040.27,710.5496990112738,29.60533346,27.6823323084354,33.44404842,0.116674048
3,3,Georgia,Tifton,2/21/2008,BaraWet 501,11/11/2008,327,2.27,569,170,5158.9,1318.5247649070675,22.74502716,30.243206146100228,26.19026488,0.6722131990000001
4,4,Georgia,Midville,2/21/2008,PGI 801,12/7/2009,341,2.9,264,390,5320.75,1128.4964956502358,29.5558584,26.67223120211502,176.8482793,0.29287653677896774
5,5,Georgia,Midville,2/21/2008,GA-505,8/14/2009,341,3.92,554,37,3667.05,599.974,28.61972977,23.25987372277112,57.71968649,0.23072723288244984
6,6,Georgia,Tifton,11/1/2007,BaraWet 501,11/17/2010,338,6.03,726,38,5320.75,1136.7391827261933,20.58125727,65.25654122279637,46.02946745,0.1856803710193692
7,7,Georgia,Tifton,11/1/2007,PGI 801,11/20/2008,270,2.7,490,390,4204.08,665.6794279904332,20.58125727,34.65991022549086,176.8482793,0.6722131990000001
8,8,Georgia,Tifton,2/21/2008,Bulldog 805,12/7/2009,312,3.51,531,178,3400.1,1127.3769237637614,20.58125727,25.18112248663435,39.38821213,0.6722131990000001
9,9,Georgia,Tifton,2/21/2008,Attention II,8/14/2009,341,3.55,660,0,3618.24,1323.896,20.58125727,20.155899819065247,44.6011425,0.657168628036963
10,10,Georgia,Tifton,2/21/2008,Bara 503,11/17/2010,341,3.84,747,0,5288.6,700.6764055248177,47.49849921,15.692692999999998,176.8482793,0.4963851616248153
11,11,Georgia,Midville,2/21/2008,Attention II,12/7/2009,341,4.26,563,90,4847.1,1175.0379723223468,21.38138114,15.716372156088086,42.943579,0.18171324780554374
12,12,Georgia,Tifton,11/1/2007,Bulldog 805,11/20/2008,334,5.15,1000,75,3400.1,599.974,23.20832599,33.1717752183833,40.81377334,0.22659961673627554
13,13,Georgia,Midville,2/21/2008,Hybri Force 700,11/17/2010,341,2.27,661,4,5320.75,1294.198036488176,34.06150763,105.98888659999999,26.19026488,0.23069694560611087
14,14,Georgia,Midville,2/21/2008,Attention II,11/17/2010,341,4.06,664,389,4522.98,810.7240457783926,20.58125727,15.692692999999998,53.98281254,0.6722131990000001
15,15,Georgia,Tifton,2/21/2008,Bara 503,11/17/2010,341,4.93,570,63,5019.2,1117.161473056,20.58125727,20.229161836051752,34.70293829,0.116674048
16,16,Georgia,Midville,11/1/2007,GA-505,11/11/2008,341,6.03,316,61,3592.34,1323.896,23.0618884,105.98888659999999,35.40826788,0.6658170358773898
17,17,Georgia,Midville,2/21/2008,GA-505,8/14/2009,331,4.36,685,390,3400.1,602.1772623055924,126.36384838,26.71313434644218,26.19026488,0.5844494717039379
18,18,Georgia,Tifton,2/21/2008,Attention II,11/20/2008,305,2.27,749,0,5284.72,599.974,20.58125727,19.802486302278645,26.19026488,0.6722131990000001
19,19,Georgia,Tifton,2/21/2008,GA-505,11/17/2010,341,2.99,745,0,3400.1,742.6049056754874,27.55014603,22.14243215522285,41.01464257,0.6722131990000001
20,20,Georgia,Tifton,2/21/2008,Attention II,11/20/2008,341,3.37,1000,247,3660.76,1323.896,28.76810826,15.692692999999998,51.16041014,0.116674048
21,21,Georgia,Midville,2/21/2008,PGI 909,11/17/2010,335,4.01,587,109,4470.23,599.974,43.83414238,18.421371769980183,27.7775326,0.6722131990000001
22,22,Georgia,Tifton,11/1/2007,Bulldog 805,11/20/2008,313,2.27,549,0,4931.56,750.3278659471077,20.58125727,105.98888659999999,26.19026488,0.6335222252647554
23,23,Georgia,Tifton,2/21/2008,GA-505,8/14/2009,341,2.27,711,34,4805.31,1323.896,42.72577347,15.692692999999998,26.19026488,0.6722131990000001
24,24,Georgia,Tifton,2/21/2008,Bara 503,8/14/2009,320,5.07,705,390,5320.75,772.2886049275503,22.27381394,15.692692999999998,55.67155111,0.6722131990000001
25,25,Georgia,Tifton,2/21/2008,BaraWet 501,11/11/2008,341,2.83,264,7,3692.39,1323.896,26.10609916,19.43087271038589,32.87668174,0.59574683458448
26,26,Georgia,Midville,2/21/2008,Bulldog 805,8/14/2009,341,3.96,737,144,4134.72,683.2470331114723,100.93471983,17.25747861963998,130.53657314,0.47639631155422707
27,27,Georgia,Tifton,2/21/2008,Bara 503,12/7/2009,314,2.27,661,374,5198.82,1323.896,39.74282871,63.41350874272783,26.19026488,0.4323788221639747
