,id_no,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,341,6.03,366,390,5320.75,1323.896,20.58125727,16.12003592025069,26.42884876,0.19128837399999998
1,1,303,6.03,349,205,4509.1,1323.896,21.11420364,15.692692999999998,27.25335138,0.16550675942151996
2,2,226,4.07,460,274,5257.76,730.235,20.58125727,16.934280677662258,27.70210736,0.18011156255525312
3,3,302,5.16,655,70,4433.11,886.612,22.450957,15.692692999999998,28.06168752,0.19128837399999998
4,4,341,3.57,315,294,5320.75,753.444,21.95884861,15.692692999999998,28.39498347,0.13081673575377542
5,5,271,2.27,264,281,4186.09,1323.896,22.80902165,17.38065284215662,26.19026488,0.1276123507567681
6,6,309,3.62,494,224,5320.75,1323.896,21.55124628,17.57716879166796,27.32911789,0.15648750208262366
7,7,300,5.7,620,0,5320.75,703.402,21.10334388,15.692692999999998,27.11963013,0.14868676104696643
8,8,305,2.84,268,390,4677.18,943.153,22.04384388,16.058069828590316,26.19026488,0.17791822197927012
9,9,303,2.27,427,195,5320.75,896.475,20.58125727,17.69185657935278,26.70481556,0.1699997150067621
10,10,226,4.21,281,147,5320.75,916.319,22.21791652,15.763945055257093,28.40566923,0.19128837399999998
11,11,322,3.42,317,271,4212.77,877.992,22.51648899,16.83049985263029,27.37161636,0.1709687341963608
12,12,226,2.27,502,0,5320.75,1323.896,23.32767857,17.39485241096743,27.62876963,0.19128837399999998
13,13,341,4.19,655,179,5320.75,814.678,21.96342633,15.692692999999998,26.68537695,0.19128837399999998
14,14,256,2.27,288,220,4677.3,1010.817,20.58125727,15.692692999999998,26.19026488,0.16841915097665291
15,15,341,4.05,283,379,3803.91,969.417,22.10946749,17.32742442030759,27.69529169,0.15864396350626217
16,16,226,3.05,588,282,5320.75,862.001,22.75875145,16.63758127082014,26.19026488,0.12896018388822186
17,17,289,5.25,583,132,5320.75,804.784,20.58125727,17.32629508923233,27.24125268,0.13948946440646487
18,18,310,6.03,655,390,5320.75,1323.896,21.09702281,16.08702322330086,26.19026488,0.15670997522172314
19,19,279,2.63,276,364,5320.75,892.095,20.58125727,15.692692999999998,26.68481537,0.16926116604518726
20,20,261,2.51,264,297,4941.43,956.222,20.58125727,15.692692999999998,26.19026488,0.19128837399999998
21,21,334,5.64,655,96,4283.93,1323.896,21.11787225,16.85252390376109,26.19026488,0.1779499807906979
22,22,256,3.17,356,120,4669.53,1323.896,22.00287561,16.485507075166673,29.04502515,0.1541191207204244
23,23,327,2.81,442,0,4331.37,951.01,21.82485896,16.5161937959274,27.99012285,0.1250091548467103
24,24,310,2.27,375,317,5320.75,930.638,20.58125727,15.692692999999998,26.19026488,0.18135360486432828
25,25,270,3.48,570,54,5320.75,1323.896,20.58125727,15.692692999999998,26.695588,0.19128837399999998
26,26,226,5.61,628,194,4917.16,945.395,23.32767857,17.58464204844272,28.56501618,0.13201948789456053
27,27,329,4.13,506,390,4188.69,1323.896,20.58125727,15.692692999999998,27.34819743,0.14555236127714485
28,28,340,4.47,609,206,4324.16,1323.896,21.7766325,16.30536103850493,26.44873777,0.13719114900100388
29,29,314,4.08,467,0,4279.01,1323.896,22.33038513,16.13387490708322,26.19026488,0.19128837399999998
30,30,235,2.51,264,390,4796.05,1323.896,21.87855113,15.692692999999998,26.79501121,0.116674048
31,31,256,2.67,264,250,5320.75,913.414,20.58125727,15.692692999999998,26.85984589,0.18973539228965552
32,32,257,3.6,264,248,5320.75,744.33,20.92212864,15.740234028105661,26.28836095,0.1839806728921209
33,33,305,6.03,459,0,5320.75,1323.896,22.32632442,18.26101200893064,28.15959315,0.19128837399999998
34,34,229,4.03,264,221,4589.48,1323.896,21.69664771,15.692692999999998,27.14737222,0.17847475400664956
35,35,226,6.03,264,110,5320.75,800.806,20.58125727,15.692692999999998,28.18323681,0.16901191987401132
36,36,268,3.67,504,203,5320.75,1323.896,21.86587672,16.44609989929404,26.54166296,0.1690870742241706
37,37,332,2.27,264,265,5320.75,778.594,20.58125727,15.692692999999998,26.19026488,0.16700730198483427
38,38,327,2.42,430,0,5320.75,757.269,20.58125727,15.692692999999998,27.06453535,0.19128837399999998
39,39,269,5.58,655,325,4057.68,1121.06,22.25098227,15.692692999999998,28.50500424,0.19128837399999998
40,40,319,5.11,655,390,5320.75,995.693,20.85624927,15.692692999999998,27.54684323,0.116674048
41,41,308,2.46,503,390,4960.01,1323.896,21.11377156,15.692692999999998,27.18301614,0.18642721407818125
42,42,341,3.37,576,204,5002.01,1323.896,21.79464669,15.753719848246902,26.81743914,0.14540984930083717
43,43,341,3.62,655,0,5320.75,1323.896,20.58125727,15.692692999999998,28.09071711,0.18713677432188908
44,44,249,2.27,493,390,5320.75,728.277,21.50503342,16.992553033566914,26.19026488,0.19128837399999998
45,45,297,2.62,264,0,5007.11,888.736,20.58125727,16.185588260406398,27.81520978,0.19003847357035272
46,46,249,2.95,283,258,5320.75,1323.896,21.54717265,15.82595772066213,26.19026488,0.15686941122470127
47,47,226,3.54,655,190,5320.75,751.912,23.04158176,15.692692999999998,26.19026488,0.16896668019995983
48,48,305,2.32,264,174,5320.75,739.154,21.43263356,17.5151393890579,26.19026488,0.13909593896263295
49,49,337,3.89,655,272,5320.75,1323.896,22.3422879,15.692692999999998,26.19026488,0.15007546497334542
