,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,11/1/2007,PGI 801,11/17/2010,293,6.03,1000,353,5272.94,1323.896,138.9297511,101.21436886378466,60.33711544,0.3475820943320639
1,1,Georgia,Tifton,2/21/2008,Bara 503,11/20/2008,226,5.86,1000,0,3400.1,608.6538025650743,34.4720416,23.54883481098691,114.82128976,0.116674048
2,2,Georgia,Midville,2/21/2008,Bara 503,8/14/2009,251,6.03,437,0,3451.92,774.2667251391285,138.9297511,15.692692999999998,175.33734777,0.1671118743104995
3,3,Georgia,Tifton,2/21/2008,Attention II,12/7/2009,332,4.1,310,153,4620.42,599.974,41.78801422,105.98888659999999,26.19026488,0.116674048
4,4,Georgia,Midville,11/1/2007,Bara 503,11/17/2010,299,6.03,286,41,5152.5,719.3698172216523,138.9297511,36.2490481099939,176.8482793,0.6722131990000001
5,5,Georgia,Tifton,2/21/2008,Hybri Force 700,12/7/2009,258,5.91,264,376,4535.89,884.3070161704802,25.96691607,53.54396896550296,176.8482793,0.1185594996085533
6,6,Georgia,Midville,11/1/2007,BaraWet 501,11/20/2008,302,6.03,1000,15,3400.1,599.974,20.58125727,15.692692999999998,26.19026488,0.20782095289615798
7,7,Georgia,Tifton,2/21/2008,Bulldog 805,8/14/2009,226,6.03,1000,0,5125.84,742.657685740973,138.9297511,28.201722556848043,128.06929945,0.4243888100119531
8,8,Georgia,Tifton,2/21/2008,PGI 801,11/17/2010,327,6.03,951,54,3412.63,859.7908350506777,138.9297511,36.17729416286941,176.8482793,0.3433352014584938
9,9,Georgia,Tifton,2/21/2008,TS 8031,11/20/2008,341,3.73,642,90,5174.7,807.9934210003764,95.82555731,15.692692999999998,128.75543048,0.116674048
10,10,Georgia,Midville,2/21/2008,PGI 909,11/20/2008,341,4.58,1000,0,5106.99,991.3338070388434,138.9297511,29.78042400252992,26.19026488,0.116674048
11,11,Georgia,Tifton,11/1/2007,GA-505,8/14/2009,289,4.4,805,0,5010.56,673.9366331476596,138.9297511,31.634795826225098,26.19026488,0.116674048
12,12,Georgia,Tifton,11/1/2007,PGI 801,8/14/2009,226,6.03,667,81,3564.46,841.2617937275699,138.9297511,20.76560999650533,76.05382814,0.2656153929128371
13,13,Georgia,Tifton,2/21/2008,GA-505,11/11/2008,228,6.03,977,390,5320.75,1193.6823334227038,20.58125727,30.574982433260274,176.8482793,0.116674048
14,14,Georgia,Tifton,2/21/2008,PGI 909,8/14/2009,254,6.03,487,0,3633.6,1103.3960315434942,40.84905514,29.127388369164702,26.19026488,0.2859814683248761
15,15,Georgia,Midville,11/1/2007,CW 36106,11/17/2010,250,5.75,354,307,4232.41,750.0551257554769,138.9297511,19.96605995261024,133.76722352,0.19291105743015707
16,16,Georgia,Midville,2/21/2008,Hybri Force 700,12/7/2009,341,2.55,1000,0,3400.1,1323.896,20.58125727,28.41500105109253,26.19026488,0.116674048
17,17,Georgia,Tifton,2/21/2008,PGI 909,11/17/2010,263,2.27,868,390,4357.17,636.7090185203879,57.7390879,101.61183414950835,176.8482793,0.11701579050882474
18,18,Georgia,Midville,2/21/2008,PGI 909,11/11/2008,320,3.06,1000,390,5320.75,1323.896,25.00731172,100.95322851034881,176.8482793,0.116674048
19,19,Georgia,Tifton,11/1/2007,Hybri Force 700,11/20/2008,277,6.03,531,160,5320.75,666.2427405066419,20.58125727,105.98888659999999,26.19026488,0.6722131990000001
20,20,Georgia,Midville,2/21/2008,PGI 909,8/14/2009,226,4.64,264,0,4137.6,632.1834047465022,138.9297511,25.271580450781055,176.8482793,0.22222186698925944
21,21,Georgia,Midville,2/21/2008,GA-505,11/20/2008,277,6.03,799,153,3636.35,798.0596900391077,28.57250026,27.851732216214295,176.8482793,0.22138870175930053
22,22,Georgia,Tifton,2/21/2008,Bara 503,12/7/2009,286,3.69,544,153,5320.75,707.9344389538121,138.9297511,15.692692999999998,104.96657773,0.116674048
23,23,Georgia,Tifton,2/21/2008,PGI 909,11/11/2008,340,3.38,1000,307,5320.75,691.8639783742794,20.58125727,105.98888659999999,98.70943726,0.116674048
24,24,Georgia,Tifton,2/21/2008,PGI 909,11/17/2010,230,3.51,1000,318,5320.75,1323.896,61.85793395,16.16241714766196,105.82363168,0.13895678557538607
25,25,Georgia,Midville,2/21/2008,PGI 909,11/20/2008,327,6.03,302,390,3572.34,599.974,35.08842717,16.84920218938443,51.38000071,0.26114602025591566
26,26,Georgia,Tifton,2/21/2008,Bulldog 805,11/17/2010,295,5.59,293,0,3400.1,599.974,138.9297511,15.692692999999998,141.61055556,0.6722131990000001
