,id_no,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,0,Georgia,Tifton,11/1/2007,BaraWet 501,11/11/2008,266,3.75,264,0,3400.1,833.2789877182742,20.58125727,17.1534881799614,160.92826223,0.20456760183058398
1,1,Georgia,Midville,2/21/2008,Attention II,8/14/2009,261,2.33,1000,389,3921.37,665.3564673192712,52.82319599,105.98888659999999,26.19026488,0.116674048
2,2,Georgia,Tifton,2/21/2008,Hybri Force 600,11/11/2008,238,2.27,446,390,3400.1,732.3875316813828,20.58125727,20.94392708879479,72.75731638,0.6722131990000001
3,3,Georgia,Midville,11/1/2007,PGI 801,11/11/2008,300,4.49,734,0,4354.85,600.2797951583981,29.80180882,15.692692999999998,26.19026488,0.116674048
4,4,Georgia,Midville,11/1/2007,Attention II,12/7/2009,314,6.03,825,234,4623.59,1318.485165637086,20.58125727,85.11527743949793,32.46096471,0.19363151957121388
5,5,Georgia,Midville,2/21/2008,Bulldog 805,8/14/2009,341,3.91,859,222,4932.99,1099.4233518948595,138.9297511,99.9619041554672,163.6112026,0.5699695790765481
6,6,Georgia,Tifton,2/21/2008,Hybri Force 600,8/14/2009,270,2.54,1000,204,3400.1,855.6584273298472,20.58125727,26.95727593516238,55.74591697,0.42716309796812113
7,7,Georgia,Midville,2/21/2008,Attention II,11/20/2008,297,5.09,871,200,3789.88,973.8026188739613,74.18448085,15.692692999999998,176.8482793,0.5132713907151939
8,8,Georgia,Tifton,11/1/2007,PGI 801,8/14/2009,295,3.13,264,288,5171.36,599.974,105.65437189,87.85284703715753,176.8482793,0.43634678637314184
9,9,Georgia,Midville,11/1/2007,Hybri Force 600,11/11/2008,308,3.28,734,390,3994.28,599.974,20.58125727,15.692692999999998,26.19026488,0.19616389404669662
10,10,Georgia,Tifton,2/21/2008,TS 8031,11/11/2008,311,3.19,535,390,4858.79,898.4881606638029,20.58125727,18.440208108141483,26.19026488,0.51345321491695
11,11,Georgia,Midville,2/21/2008,Bulldog 805,11/11/2008,341,2.39,658,154,3816.12,658.9631411918778,20.87627919,42.62085664961854,124.80906586,0.3340025305489952
